owner,repo,maintenance,contribution,popularity,code_quality,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contributor_participation,code_contribution,contributor_growth,stars_and_watches,forks,project_maturity,downstream_dependents,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity
palantir,tslint,1.28375,0.8188888888888889,1.17125,2.2805555555555554,,,1.8,3.335,2.4566666666666666,,,0.27,0.11,3.555,0.75,5.716666666666666,,1.125,0.3996296296296297
bvaughn,react-virtualized,3.5333333333333328,0.8244444444444444,1.05125,1.950555555555556,6.206666666666666,,4.986666666666666,2.94,2.473333333333333,,,1.17,0.39,2.615,0.03,4.206666666666667,,1.645,0.7948148148148149
xmldom,xmldom,4.469375,1.0466666666666666,0.365,2.647222222222222,8.996666666666668,5.1275,2.8433333333333333,0.91,2.56,0.32,0.26,0.01,0.01,1.24,0.2,6.546666666666667,0.215,1.18,0.3555555555555555
gulpjs,plugin-error,1.40125,0.8188888888888889,0.8,2.5783333333333336,,,2.2,3.405,2.4566666666666666,,,,,2.79,0.41,6.79,,0.945,
Automattic,mongoose,6.477708333333332,2.037777777777778,1.8925,2.89,9.386666666666663,5.5725,4.226666666666667,6.725,3.703333333333333,1.24,1.17,1.21,0.48,4.67,1.21,7.05,0.82,0.8,1.2425925925925927
karma-runner,karma-jasmine,1.5072916666666667,0.8205555555555555,1.1625,2.8838888888888885,,0.1825,1.8266666666666669,4.02,2.4566666666666666,0.005,,0.02,0.02,3.6,1.01,6.456666666666666,,2.195,0.2868518518518518
jaredhanson,passport,4.944583333333333,0.8394444444444445,1.3737499999999998,2.569444444444444,6.576666666666667,5.005,2.766666666666666,5.43,2.5033333333333334,0.015,,1.02,0.16,4.005,0.31,6.763333333333333,,0.945,0.6731481481481483
jinder,path,1.30125,0.8188888888888889,0.785,2.491111111111111,,,1.4800000000000002,3.725,2.4566666666666666,,,0.01,0.01,2.89,0.23,6.743333333333333,,0.73,0.2796296296296296
chjj,blessed,3.13,0.8222222222222223,1.04125,2.417222222222222,6.983333333333333,,1.9566666666666668,3.58,2.466666666666667,,,0.51,0.07,3.555,0.03,6.676666666666667,,0.575,0.4674074074074074
Pomax,react-onclickoutside,1.265,0.8188888888888889,0.77,2.531111111111111,,,1.93,3.13,2.4566666666666666,,,0.08,0.02,2.9,0.08,5.3933333333333335,,2.2,0.3062962962962963
mariocasciaro,object-path,1.3762500000000002,0.8188888888888889,1.03875,2.7377777777777776,,,2.27,3.2350000000000003,2.4566666666666666,,,0.05,0.01,3.335,0.76,6.493333333333333,,1.72,0.292962962962963
SheetJS,sheetjs,2.4633333333333334,0.8216666666666667,1.5624999999999998,2.569444444444444,0.8366666666666666,4.52,1.2866666666666668,3.21,2.46,0.005,,1.56,1.02,3.61,0.06,6.653333333333333,,1.055,1.133888888888889
jaredhanson,passport-strategy,4.2525,0.8188888888888889,0.9075,2.42,9.993333333333334,,1.586666666666667,5.43,2.4566666666666666,,,0.01,,3.38,0.24,6.739999999999999,,0.52,
gulpjs,vinyl-fs,3.9179166666666654,0.8188888888888889,0.92625,2.803333333333333,9.963333333333331,,2.303333333333333,3.405,2.4566666666666666,,,0.04,0.02,3.305,0.34,6.7700000000000005,,1.64,0.292962962962963
oclif,config,2.092083333333333,0.8772222222222222,0.53625,2.6311111111111107,,5.010000000000001,1.2333333333333334,2.125,2.486666666666667,0.055,0.09,,,2.145,,6.253333333333333,0.075,1.565,
SeleniumHQ,selenium,5.840833333333333,2.8911111111111114,1.52,2.676111111111112,9.43,5.62,5.423333333333333,2.89,4.843333333333334,1.61,2.22,1.32,1.0,3.68,0.08,5.703333333333333,1.5950000000000002,0.7300000000000001,1.7370370370370372
wnr,element-resize-detector,1.4116666666666666,0.8188888888888889,0.7474999999999999,2.208333333333333,,,1.7166666666666668,3.93,2.4566666666666666,,,0.06,0.01,2.87,0.05,5.63,,0.995,0.2962962962962963
browserify,browserify,3.945416666666667,0.8233333333333334,1.3324999999999998,2.725555555555556,8.226666666666667,,3.790000000000001,3.765,2.47,,,0.66,0.15,4.38,0.14,6.706666666666667,,1.47,0.5444444444444444
mathiasbynens,base64,1.7533333333333332,0.8188888888888889,0.80375,2.4022222222222225,,,1.663333333333333,5.35,2.4566666666666666,,,0.02,0.01,3.115,0.07,6.686666666666667,,0.52,0.2829629629629629
mscdex,ssh2,4.802083333333333,0.8627777777777778,1.02125,2.4166666666666665,8.79,4.63,2.353333333333333,3.435,2.5733333333333333,0.015,,0.25,0.09,3.725,0.02,6.669999999999999,,0.58,0.4009259259259259
airbnb,enzyme,5.429583333333333,0.82,0.9825,2.5994444444444444,9.87,2.685,5.403333333333333,3.76,2.46,,,0.91,0.26,2.6,0.16,6.663333333333334,0.005,1.13,0.6633333333333333
epeli,underscore.string,0.0858333333333333,0.8188888888888889,1.19125,2.5644444444444443,,,0.3433333333333333,,2.4566666666666666,,,0.15,0.05,4.425,0.14,6.573333333333333,,1.12,0.3396296296296296
sindresorhus,user-home,2.7495833333333333,0.8188888888888889,0.85125,2.505555555555555,,,2.9933333333333336,8.004999999999999,2.4566666666666666,,,0.01,,3.035,0.36,6.786666666666666,,0.73,
angular,components,5.134375,2.7355555555555555,1.3175,2.595,8.13,3.3625,5.11,3.935,4.216666666666667,1.95,2.04,1.09,0.85,3.09,0.24,4.920000000000001,2.185,0.68,1.5585185185185184
vuejs,vue-style-loader,0.7775000000000001,0.8188888888888889,0.84,2.4544444444444444,,,0.16,2.95,2.4566666666666666,,,0.01,0.01,2.55,0.79,5.953333333333333,,1.41,0.2796296296296296
stevemao,left-pad,1.5658333333333332,0.8188888888888889,0.9825,2.922777777777778,,,1.3133333333333337,4.949999999999999,2.4566666666666666,,,0.06,0.02,3.17,0.68,6.8933333333333335,,1.875,0.2996296296296296
remarkjs,react-markdown,5.340833333333333,0.9044444444444444,0.875,2.832222222222222,9.723333333333334,4.805,3.8,3.035,2.623333333333333,0.05,0.04,0.54,0.11,2.78,0.07,6.676666666666667,0.035,1.785,0.5181481481481481
Hacker0x01,react-datepicker,4.966666666666667,1.708888888888889,1.00125,2.797222222222222,7.283333333333334,5.44,4.413333333333333,2.73,3.046666666666667,0.99,1.09,0.35,0.28,3.305,0.07,6.136666666666667,0.675,1.58,0.7796296296296296
nfl,react-helmet,3.914166666666667,0.8233333333333334,0.96,2.407777777777778,6.713333333333334,2.5,3.3633333333333333,3.08,2.47,,,0.78,0.09,2.74,0.23,4.303333333333334,,2.92,0.5644444444444445
node-js-libs,cli,1.4770833333333333,0.8188888888888889,1.0949999999999998,2.6105555555555555,,,1.0433333333333332,4.865,2.4566666666666666,,,0.04,0.01,4.27,0.06,6.686666666666667,,1.145,0.2896296296296296
koajs,compose,1.7625,0.8188888888888889,0.8875,2.693888888888889,,,3.06,3.99,2.4566666666666666,,,0.05,0.02,3.37,0.11,6.206666666666666,,1.875,0.2962962962962963
http-party,http-server,4.624166666666667,0.8294444444444444,1.25125,2.428888888888889,7.163333333333333,2.5,4.253333333333333,4.58,2.473333333333333,0.015,,0.6,0.19,4.125,0.09,6.006666666666667,0.015,1.265,0.5398148148148149
ethereumjs,ethereumjs-monorepo,4.518958333333334,1.49,0.8300000000000001,3.4711111111111115,8.38,5.3875,1.4433333333333334,2.865,2.77,0.96,0.74,0.11,0.09,3.12,,6.153333333333333,2.8600000000000003,1.4,0.5633333333333334
dcodeIO,bcrypt.js,2.9191666666666665,0.8222222222222223,0.91375,2.4472222222222224,6.956666666666666,,1.6900000000000002,3.03,2.466666666666667,,,0.15,0.03,3.475,,6.666666666666667,,0.675,0.3340740740740741
goto100,xpath,3.547083333333333,0.9211111111111112,0.9375,2.8466666666666662,7.203333333333333,3.845,0.29,2.85,2.5333333333333337,0.06,0.17,0.01,0.01,3.71,0.02,6.63,0.085,1.825,0.3137037037037037
hapijs,boom,4.82125,0.8222222222222223,1.08375,3.3672222222222223,8.32,4.965,2.58,3.42,2.466666666666667,,,0.13,0.02,3.575,0.61,6.866666666666667,,3.235,0.3240740740740741
request,request-promise,2.005,0.82,0.92,2.771111111111111,,2.5,2.0,3.52,2.46,,,0.22,0.04,3.32,0.1,6.6933333333333325,,1.62,0.36
expressjs,errorhandler,1.3954166666666663,0.8188888888888889,0.95625,2.5977777777777784,,,1.8766666666666667,3.705,2.4566666666666666,,,0.02,0.01,3.205,0.59,6.853333333333334,,0.94,0.2829629629629629
react-icons,react-icons,4.379166666666666,1.0833333333333333,0.98625,2.603333333333333,8.08,4.58,1.7366666666666666,3.12,2.75,0.15,0.35,0.49,0.09,2.6750000000000003,0.69,6.68,0.185,0.945,0.5544444444444444
apostrophecms,sanitize-html,4.518541666666667,0.8433333333333333,0.90625,3.898333333333333,9.336666666666668,2.4925,3.56,2.685,2.49,,0.04,0.16,0.05,3.345,0.07,6.669999999999999,0.02,5.005,0.3511111111111111
react-dnd,react-dnd,3.804583333333333,0.8516666666666667,1.0950000000000002,1.788333333333333,7.003333333333334,2.03,3.6,2.585,2.5500000000000003,0.005,,0.93,0.25,3.13,0.07,4.75,,0.615,0.6772222222222223
mishoo,UglifyJS2,4.896458333333333,0.8188888888888889,0.0825,2.818888888888889,7.586666666666666,4.6725,3.4466666666666668,3.88,2.4566666666666666,,,,,0.33,,6.666666666666667,1.27,0.52,
zenorocha,clipboard.js,3.759375,0.8294444444444444,1.1875,2.4222222222222225,6.636666666666667,1.7675,3.213333333333333,3.42,2.4833333333333334,0.005,,1.54,0.51,2.7,,5.486666666666667,,1.78,0.9598148148148148
reactjs,react-modal,3.4716666666666662,0.8688888888888888,0.8875000000000001,2.2016666666666667,7.25,1.6649999999999998,2.6066666666666665,2.365,2.506666666666667,0.01,0.09,0.33,0.11,2.99,0.12,4.56,0.045,2.0,0.4362962962962963
medialize,URI.js,1.6554166666666668,0.8455555555555555,1.0825,2.727222222222222,,,2.586666666666667,4.035,2.4566666666666666,0.08,,0.28,0.07,3.98,,6.666666666666667,,1.515,0.3985185185185185
sindresorhus,tildify,2.73625,0.8188888888888889,0.8674999999999999,2.614444444444444,,,2.94,8.004999999999999,2.4566666666666666,,,,,3.23,0.24,6.743333333333333,,1.1,
apollographql,apollo-link,1.4929166666666664,0.8188888888888889,0.5700000000000001,1.272222222222222,,,3.9166666666666665,2.055,2.4566666666666666,,,0.07,0.05,2.06,0.1,1.8066666666666664,,2.01,0.3129629629629629
winstonjs,winston-daily-rotate-file,3.066666666666667,0.8288888888888889,0.6824999999999999,2.9,5.983333333333333,1.325,1.4433333333333334,3.515,2.486666666666667,,,0.04,0.02,2.66,0.01,6.609999999999999,,2.09,0.2962962962962963
facebook,react-native,5.397708333333333,2.853333333333333,3.00875,4.189444444444444,8.643333333333333,6.0525,3.979999999999999,2.915,4.79,2.3800000000000003,1.39,5.24,3.03,3.255,0.51,6.373333333333332,5.38,0.815,3.707777777777778
75lb,command-line-args,1.5454166666666669,0.7599999999999999,0.81375,2.385,,,2.526666666666667,3.655,2.28,,,0.03,0.01,3.105,0.11,6.580000000000001,,0.575,0.2666666666666666
naugtur,xhr,1.5025,0.7599999999999999,1.0275,2.979444444444445,,,2.9600000000000004,3.05,2.28,,,0.04,0.01,3.83,0.23,6.283333333333334,,2.655,0.2699999999999999
sidorares,node-mysql2,5.458125000000001,1.43,0.99375,2.621111111111111,8.223333333333334,5.2625,4.136666666666667,4.21,2.75,0.71,0.83,0.18,0.07,3.525,0.2,6.573333333333333,0.6499999999999999,0.64,0.5599999999999999
vuejs,vue-hot-reload-api,1.0658333333333334,0.7599999999999999,0.8325,2.485555555555555,,,1.3133333333333337,2.95,2.28,,,0.02,0.01,2.62,0.68,5.896666666666666,,1.56,0.2633333333333333
vuejs,vuex,4.126458333333333,0.7694444444444445,1.4149999999999998,2.403333333333333,6.650000000000001,5.0025,1.903333333333333,2.95,2.293333333333333,0.015,,1.29,1.22,2.77,0.38,5.919999999999999,,1.29,1.0931481481481482
prettymuchbryce,http-status-codes,3.591458333333333,0.7833333333333332,0.8874999999999998,2.428333333333333,7.016666666666667,2.5025,1.586666666666667,3.26,2.3,0.01,0.04,0.04,0.01,3.47,0.03,6.219999999999999,0.02,1.045,0.2777777777777777
kelektiv,node-cron,6.17375,1.0072222222222222,1.2425000000000002,2.8716666666666666,9.066666666666668,5.15,6.123333333333332,4.355,2.3966666666666665,0.4549999999999999,0.17,0.37,0.08,4.48,0.04,6.66,0.175,1.78,0.4857407407407407
jasmine,jasmine-npm,2.2935416666666666,0.7616666666666666,0.8225,2.483888888888889,2.293333333333333,0.0025,2.9433333333333334,3.935,2.28,0.005,,0.02,0.02,3.25,,6.666666666666667,,0.785,0.2672222222222222
parshap,node-sanitize-filename,1.4266666666666667,0.7599999999999999,0.84625,2.2277777777777774,,,1.6366666666666667,4.07,2.28,,,0.02,0.01,3.355,,5.6933333333333325,,0.99,0.2633333333333333
mui-org,material-ui,5.101458333333333,3.316111111111111,3.00625,3.858333333333334,8.299999999999999,6.5825,5.523333333333333,,4.733333333333333,3.435,1.78,4.15,3.97,3.565,0.34,5.760000000000001,4.984999999999999,0.8300000000000001,3.812037037037037
knex,knex,3.980833333333334,1.4244444444444444,1.21375,2.895,5.6433333333333335,4.710000000000001,3.01,2.56,2.773333333333333,0.24,1.26,0.84,0.26,3.655,0.1,6.57,0.705,1.41,0.8414814814814816
sequelize,sequelize,5.262291666666667,1.8038888888888889,1.775,2.746666666666666,7.243333333333335,5.7075000000000005,5.043333333333334,3.055,2.7566666666666664,1.745,0.91,1.32,0.54,4.99,0.25,6.169999999999999,1.125,0.945,1.2212962962962963
react-component,slider,4.106458333333333,0.8366666666666668,0.77,3.0766666666666667,6.87,4.7925,1.6833333333333336,3.08,2.21,0.08,0.22,0.14,0.1,2.84,,6.640000000000001,0.12,2.47,0.358888888888889
trentm,node-bunyan,3.12875,0.7072222222222222,1.1,2.3061111111111106,3.333333333333333,2.09,3.926666666666667,3.165,2.1166666666666667,0.005,,0.32,0.07,3.9,0.11,5.873333333333332,,1.045,0.3657407407407407
nashwaan,xml-js,2.0516666666666667,0.7066666666666667,0.6625,1.307777777777778,3.333333333333333,,1.9833333333333327,2.89,2.12,,,0.06,0.02,2.46,0.11,3.3433333333333337,,0.58,0.2622222222222222
websockets,bufferutil,3.5629166666666667,0.7066666666666666,0.77,2.6411111111111114,9.713333333333331,0.005,1.393333333333333,3.14,2.11,0.01,,0.01,0.01,2.89,0.17,6.723333333333334,,1.2,0.2422222222222222
firebase,firebase-js-sdk,5.268750000000001,1.7094444444444443,0.7212500000000001,2.832777777777778,8.383333333333333,5.260000000000001,4.736666666666666,2.6950000000000003,3.053333333333333,0.855,1.22,0.21,0.11,2.115,0.45,4.3933333333333335,2.39,1.715,0.6764814814814814
hudochenkov,stylelint-order,4.036458333333333,0.7127777777777778,0.6025,2.382777777777778,7.986666666666667,3.9725,1.586666666666667,2.6,2.123333333333333,0.015,,0.04,0.01,2.3000000000000003,0.06,6.413333333333334,,0.735,0.2542592592592593
googleapis,google-api-nodejs-client,5.651458333333334,1.1622222222222225,2.3175,2.56,7.593333333333334,5.0775,4.73,5.205,2.566666666666667,0.5700000000000001,0.35,0.51,0.24,8.52,,6.640000000000001,0.2799999999999999,0.76,0.6374074074074075
FortAwesome,Font-Awesome,4.615416666666667,1.0611111111111111,2.26125,2.5516666666666663,8.016666666666666,4.955000000000001,3.69,1.8,3.013333333333333,0.04,0.13,3.32,1.56,3.945,0.22,6.739999999999999,0.065,0.8500000000000001,1.9803703703703703
webpack-contrib,eslint-loader,1.507083333333333,0.7599999999999999,1.02,2.1083333333333334,,,2.4633333333333334,3.565,2.28,,,0.05,0.02,2.98,1.03,4.8500000000000005,,1.475,0.2766666666666666
ciaranj,node-oauth,1.4489583333333331,0.7616666666666666,1.19625,2.623888888888889,,1.1375,0.0533333333333333,4.605,2.28,0.005,,0.11,0.09,4.585,,6.666666666666667,,1.2049999999999998,0.3205555555555555
webpack-contrib,html-loader,4.8725,0.8288888888888888,0.92,2.5516666666666667,8.113333333333333,4.915,2.896666666666667,3.565,2.3266666666666667,0.03,0.13,0.05,0.03,3.25,0.35,6.16,0.07,1.425,0.3029629629629629
npm,security-holder,1.365,0.7599999999999999,0.62375,2.7422222222222223,,,1.26,4.2,2.28,,,0.01,0.01,2.475,,6.666666666666667,,1.56,0.2599999999999999
pugjs,pug,3.165,0.7677777777777778,1.47375,2.1655555555555552,7.426666666666667,,1.7633333333333334,3.47,2.303333333333333,,,0.98,0.25,4.4750000000000005,0.19,5.716666666666666,,0.78,0.6659259259259259
typeorm,typeorm,4.604166666666667,2.931111111111111,1.225,3.146111111111111,6.140000000000001,4.37,5.346666666666667,2.56,4.453333333333333,0.47,3.87,1.5,0.78,2.53,0.09,6.413333333333333,1.935,1.09,1.7370370370370372
yiminghe,async-validator,2.5625,0.7633333333333333,0.8875000000000001,2.1294444444444447,3.0666666666666664,2.5,1.7433333333333334,2.94,2.29,,,0.4,0.1,2.83,0.22,5.493333333333333,,0.895,0.4211111111111111
formatjs,formatjs,5.3410416666666665,1.305,1.81,1.4111111111111108,9.11,4.6575,4.416666666666667,3.18,2.73,0.405,0.78,0.64,0.17,6.38,0.05,2.893333333333333,0.405,0.935,0.705
flitbit,diff,1.29375,0.7599999999999999,0.96875,2.479444444444445,,,1.55,3.625,2.28,,,0.13,0.03,3.625,0.09,6.033333333333334,,1.405,0.3066666666666666
driverdan,node-XMLHttpRequest,1.3725,0.7599999999999999,1.18875,2.675555555555556,,,1.5599999999999998,3.93,2.28,,,0.02,0.04,4.695,,6.666666666666667,,1.36,0.2733333333333333
gulpjs,gulp,5.366875,0.7727777777777777,1.52125,3.0722222222222224,9.29,5.0025,3.77,3.405,2.313333333333333,0.005,,1.5,0.54,3.435,0.61,6.846666666666667,,2.37,0.9375925925925926
roryrjb,md5-file,0.6141666666666666,0.7599999999999999,0.8649999999999999,2.708333333333333,,,1.6366666666666667,0.82,2.28,,,0.01,,3.13,0.32,6.7700000000000005,,1.355,
mathiasbynens,utf8.js,1.7666666666666666,0.7599999999999999,0.9025,2.446111111111111,,,1.7166666666666668,5.35,2.28,,,0.02,0.02,3.42,0.15,6.713333333333334,,0.625,0.2666666666666666
firebase,firebase-admin-node,4.8897916666666665,1.097222222222222,0.59125,2.616111111111111,7.583333333333333,4.9075,4.373333333333334,2.6950000000000003,2.5966666666666667,0.345,0.35,0.07,0.04,2.2550000000000003,,6.4433333333333325,0.275,1.13,0.4024074074074074
59naga,babel-plugin-add-module-exports,1.19,0.7599999999999999,0.6875,1.6499999999999997,,,1.0399999999999998,3.72,2.28,,,0.03,0.01,2.61,0.1,3.96,,0.99,0.2666666666666666
75lb,command-line-usage,1.5845833333333332,0.7599999999999999,0.7062499999999999,2.398888888888889,,,2.683333333333333,3.655,2.28,,,0.01,,2.735,0.08,6.676666666666667,,0.52,
jimp-dev,jimp,4.4314583333333335,0.8822222222222221,0.99625,2.272222222222222,7.446666666666666,3.8975,4.166666666666667,2.215,2.3966666666666665,0.03,0.22,0.61,0.1,3.135,0.14,5.816666666666666,0.115,0.885,0.5307407407407407
mapbox,node-pre-gyp,5.259791666666667,0.791111111111111,1.0625,2.837222222222222,6.026666666666666,4.8825,3.3000000000000003,6.83,2.313333333333333,0.02,0.04,0.05,0.04,3.27,0.89,6.756666666666668,0.02,1.735,0.2937037037037037
kelektiv,node.bcrypt.js,4.961041666666667,0.8544444444444445,1.2325,2.881111111111112,8.336666666666668,4.9025,2.25,4.355,2.4133333333333336,0.02,0.13,0.33,0.06,4.54,,6.433333333333334,0.065,2.145,0.4148148148148148
enzymejs,enzyme,5.084583333333333,0.7611111111111111,0.9825,2.5994444444444444,9.87,2.685,5.403333333333333,2.3800000000000003,2.283333333333333,,,0.91,0.26,2.6,0.16,6.663333333333334,0.005,1.13,0.6437037037037038
ant-design,ant-design,5.6675,4.21,3.375,4.453888888888889,9.39,6.839999999999999,4.21,2.23,6.31,3.71,2.61,4.08,5.69,3.56,0.17,6.676666666666667,5.095,1.59,4.66
lit,lit,4.990833333333334,1.8133333333333328,0.8875,2.6283333333333334,8.136666666666667,5.405,5.276666666666666,1.145,3.0700000000000003,0.98,1.39,0.78,0.11,2.63,0.03,5.48,1.0699999999999998,1.335,0.9011111111111108
Automattic,node-canvas,5.374583333333334,0.9316666666666668,1.24,2.908333333333333,7.586666666666666,5.0,2.186666666666667,6.725,2.54,0.035,0.22,0.45,0.14,4.37,,6.66,0.115,1.95,0.5072222222222224
mattyork,fuzzy,1.3291666666666666,0.7599999999999999,0.96375,2.395555555555556,,,1.6366666666666667,3.68,2.28,,,0.04,0.01,3.745,0.06,6.666666666666667,,0.52,0.2699999999999999
casesandberg,react-color,3.9739583333333335,0.7661111111111111,0.84875,2.5172222222222222,7.633333333333333,2.1425,3.14,2.98,2.293333333333333,0.005,,0.54,0.11,2.705,0.04,6.416666666666667,,1.135,0.472037037037037
cryptocoinjs,bs58,1.2591666666666668,0.7599999999999999,0.8675,2.6066666666666665,,,1.2866666666666668,3.75,2.28,,,0.01,0.01,3.29,0.16,6.72,,1.1,0.2599999999999999
shouldjs,should.js,1.3483333333333332,0.7599999999999999,0.8212499999999999,2.5988888888888884,,,2.143333333333333,3.25,2.28,,,0.09,0.02,3.105,0.07,6.646666666666666,,1.15,0.29
anseki,readline-sync,1.4945833333333334,0.7599999999999999,0.8587499999999999,2.417222222222222,,,2.643333333333333,3.335,2.28,,,0.04,0.01,3.355,0.03,6.676666666666667,,0.575,0.2699999999999999
quilljs,quill,4.112916666666667,1.1077777777777778,1.5075,2.3038888888888893,6.07,4.569999999999999,2.866666666666667,2.945,2.6533333333333333,0.32,0.35,1.75,0.4,3.83,0.05,6.056666666666668,0.1949999999999999,0.66,1.085925925925926
substack,brfs,1.0645833333333334,0.7599999999999999,0.915,2.474444444444444,2.2433333333333336,,2.01,0.005,2.28,,,0.03,0.01,3.53,0.09,6.6933333333333325,,0.73,0.2666666666666666
domenic,chai-as-promised,2.8545833333333333,0.7611111111111111,1.00125,2.3844444444444446,3.26,2.5,1.8233333333333333,3.835,2.283333333333333,,,0.06,0.01,3.855,0.08,6.053333333333334,,1.1,0.277037037037037
oclif,command,2.0889583333333333,0.8233333333333333,0.52125,2.5416666666666665,,4.9975,1.2333333333333334,2.125,2.31,0.07,0.09,0.01,0.01,2.065,,6.239999999999999,0.08,1.305,0.2811111111111111
dylang,shortid,3.88375,0.7599999999999999,1.08,2.077777777777778,9.983333333333334,,1.6366666666666667,3.915,2.28,,,0.26,0.04,3.94,0.08,5.343333333333334,,0.89,0.3533333333333333
jonschlinkert,gray-matter,3.0775,0.7666666666666666,0.90125,2.471111111111111,6.896666666666666,,2.1933333333333334,3.22,2.3,,,0.17,0.02,3.215,0.2,6.733333333333333,,0.68,0.3188888888888889
timoxley,keycode,2.0116666666666667,0.7599999999999999,0.94375,2.769444444444444,,,1.7166666666666668,6.33,2.28,,,0.02,0.01,3.655,0.09,6.6933333333333325,,1.615,0.2633333333333333
node-config,node-config,4.720625,0.8133333333333331,1.16,2.723888888888889,7.813333333333333,4.472500000000001,1.6666666666666667,4.93,2.34,0.01,0.09,0.28,0.06,4.3,,6.656666666666666,0.045,1.47,0.3844444444444444
cujojs,when,1.5633333333333337,0.7599999999999999,1.22125,2.497777777777777,,,1.7633333333333334,4.49,2.28,,,0.16,0.05,4.234999999999999,0.44,6.813333333333333,,0.68,0.3233333333333333
hammerjs,hammer.js,2.173333333333333,0.7666666666666666,1.3250000000000002,2.4650000000000003,2.7566666666666664,,2.216666666666667,3.72,2.3,,,1.09,0.34,3.87,,6.6000000000000005,,0.795,0.7322222222222222
oclif,cli-ux,0.9120833333333334,0.7599999999999999,0.50625,2.4311111111111106,,,1.5233333333333334,2.125,2.28,,,0.02,0.01,1.975,0.02,6.243333333333332,,1.05,0.2633333333333333
webpack,json-loader,1.2379166666666668,0.7599999999999999,1.12375,2.740555555555556,,,1.2866666666666668,3.665,2.28,,,0.02,0.01,3.835,0.63,6.346666666666667,,1.875,0.2633333333333333
necolas,normalize.css,4.429375,0.7633333333333333,2.01125,2.972777777777777,8.083333333333334,3.0025,2.986666666666667,3.645,2.29,,,2.35,1.37,4.155,0.17,6.723333333333334,,2.195,1.4944444444444445
mrdoob,three.js,5.5525,2.987222222222222,3.4325,3.06,9.39,6.18,3.44,3.2,3.8966666666666665,2.455,2.61,4.46,4.46,4.72,0.09,6.62,1.77,0.79,3.969074074074074
standard,eslint-plugin-standard,2.627083333333333,0.7777777777777778,0.73625,2.773888888888889,,5.0,2.6333333333333333,2.875,2.293333333333333,,0.04,0.01,,2.705,0.23,6.736666666666667,0.02,1.565,
mobxjs,mobx,4.767708333333332,1.1644444444444444,1.1075000000000002,1.7572222222222222,7.683333333333333,4.9825,3.7599999999999993,2.645,2.623333333333333,0.13,0.74,1.23,0.22,2.9400000000000004,0.04,3.6366666666666654,0.385,1.25,0.8714814814814815
amqp-node,amqplib,5.109375,0.795,0.92875,2.787777777777778,9.76,4.8825,1.8,3.995,2.33,0.015,0.04,0.16,0.06,3.435,0.06,6.503333333333333,0.02,1.84,0.3383333333333334
imagemin,imagemin,1.2420833333333334,0.7599999999999999,0.975,2.690555555555556,,,1.2333333333333334,3.735,2.28,,,0.25,0.04,3.3,0.31,6.766666666666667,,1.305,0.3499999999999999
redux-saga,redux-saga,4.760833333333333,0.8205555555555555,1.0125,1.622222222222222,8.263333333333334,4.545000000000001,3.75,2.4850000000000003,2.3366666666666664,0.0349999999999999,0.09,1.03,0.25,2.67,0.1,3.616666666666666,0.0499999999999999,1.2,0.7001851851851851
adamwdraper,Numeral-js,1.5633333333333332,0.7622222222222222,1.05875,2.4877777777777776,,,2.643333333333333,3.61,2.286666666666666,,,0.44,0.12,3.675,,6.653333333333333,,0.81,0.4407407407407408
intlify,vue-i18n-next,4.441666666666666,1.3838888888888887,0.37,2.3327777777777774,8.18,5.160000000000001,2.9966666666666666,1.43,2.7566666666666664,0.615,0.78,0.08,0.04,1.36,,5.873333333333332,0.425,0.7000000000000001,0.5012962962962962
node-schedule,node-schedule,2.9991666666666665,0.7655555555555554,1.175,3.077222222222222,5.996666666666667,,2.46,3.54,2.2966666666666664,,,0.41,0.07,4.17,0.05,6.676666666666667,,2.555,0.4151851851851851
mysqljs,mysql,3.451458333333333,0.7627777777777777,1.45125,2.5127777777777776,3.333333333333333,3.6125,2.74,4.12,2.283333333333333,0.005,,0.83,0.32,4.415,0.24,6.743333333333333,,0.795,0.6375925925925926
babel,babel-preset-env,1.66875,0.7599999999999999,0.7975,1.8327777777777776,,,3.69,2.985,2.28,,,0.16,0.02,2.38,0.63,4.443333333333333,,1.055,0.3133333333333333
rollup,rollup-plugin-babel,1.1070833333333334,0.7599999999999999,0.78,2.3216666666666668,,,1.6033333333333335,2.825,2.28,,,0.03,0.01,2.62,0.46,5.65,,1.315,0.2666666666666666
babel,babelify,1.2354166666666666,0.7599999999999999,0.7925,2.28,,,1.9566666666666668,2.985,2.28,,,0.08,0.02,2.98,0.09,5.170000000000001,,1.67,0.2866666666666666
lodash,babel-plugin-lodash,1.2954166666666669,0.7599999999999999,0.7112499999999999,1.9372222222222224,,,1.8266666666666669,3.355,2.28,,,0.09,0.01,2.695,0.05,5.066666666666666,,0.745,0.2866666666666666
akiran,react-slick,4.136458333333334,0.8694444444444444,0.97,2.642777777777778,6.803333333333334,3.9175,3.2100000000000004,2.615,2.453333333333333,0.065,0.09,0.52,0.26,2.99,0.11,6.553333333333334,0.045,1.33,0.5498148148148149
FortAwesome,react-fontawesome,3.413333333333333,0.7644444444444445,0.55,2.0722222222222224,7.693333333333332,,4.09,1.87,2.293333333333333,,,0.17,0.03,2.0,,5.056666666666667,,1.16,0.3214814814814815
